;esco code;esco name;kzis code;kzis name
178;7412.5;elektromechanik sprzętu gospodarstwa domowego;741204;Elektromechanik sprzętu gospodarstwa domowego
179;7412.7;elektromonter okrętowy;741213;Elektromonter okrętowy
180;7412.11;elektromonter taboru szynowego;741216;Elektromonter taboru szynowego
181;7412.6;elektromonter urządzeń dźwignicowych / konserwator urządzeń dźwignicowych;741208;Elektromonter/konserwator urządzeń dźwignicowych
182;7413.1.1;elektromonter linii kablowych;741301;Elektromonter linii kablowych
183;8211.3;monter mechatronik;742114;Monter mechatronik
184;8212.3.3;monter-elektronik - elektroniczne instrumenty muzyczne;742105;Monter-elektronik – elektroniczne instrumenty muzyczne
185;7422.2;serwisant sprzętu komputerowego;742208;Serwisant sprzętu komputerowego
186;7511.4;rozbieracz – wykrawacz;751104;Rozbieracz-wykrawacz
187;7511.6;ubojowy;751106;Ubojowy
188;7512.3;cukiernik;751201;Cukiernik
189;7512.1;piekarz;751204;Piekarz
190;8160.45;młynarz;751401;Młynarz
191;7521.2;impregnator drewna;752101;Impregnator drewna
192;7521.1;suszarniowy drewna;752106;Suszarniowy drewna
193;7522.3;bednarz;752201;Bednarz
194;7522.6;renowator mebli;752204;Renowator mebli artystycznych
195;7522.2;stolarz meblowy;752208;Stolarz meblowy
196;7523.6;tokarz w drewnie;752310;Tokarz w drewnie
197;7523.2;wiertacz w drewnie;752312;Wiertacz w drewnie
198;7523.5;polerowacz wyrobów z drewna;752306;Polerowacz wyrobów z drewna
199;7533.3;rękawicznik;753108;Rękawicznik
200;7531.4;kapelusznik-czapnik;753103;Kapelusznik-czapnik
201;7532.7;konstruktor odzieży;753201;Konstruktor odzieży
202;7532.2;krojczy;753202;Krojczy
203;7533.2;hafciarz/hafciarka;753301;Hafciarka
204;7534.3;tapicer;753402;Tapicer
205;7534.3.1;tapicer meblowy;753403;Tapicer meblowy
206;8155.1.3;garbarz;753501;Garbarz skór
207;7531.3;klasyfikator skór;753503;Klasyfikator skór
208;7536.2.7;szewc;753606;Szewc
209;7536.2;obuwnik;753602;Obuwnik
210;7536.2.1;obuwnik miarowy;753603;Obuwnik miarowy
211;7536.2.6;obuwnik ortopedyczny;753604;Obuwnik ortopedyczny
212;7541.3;płetwonurek ratownik;754105;Płetwonurek ratownik
213;7542.1;strzałowy;754201;Strzałowy (górnik strzałowy)
214;7543.8;klasyfikator wyrobów przemysłowych;754301;Klasyfikator wyrobów przemysłowych
215;7544.1;pracownik deratyzacji, dezynfekcji i dezynsekcji;754401;Pracownik deratyzacji, dezynfekcji i dezynsekcji
216;7544.1.1;pracownik ochrony roślin;754402;Pracownik ochrony roślin
217;6112.3;rolnik chmielarz;611202;Rolnik chmielarz
218;6112.1;sadownik;611203;Sadownik
219;6112.2;kierownik gospodarstwa sadowniczego;611201;Kierownik gospodarstwa sadowniczego
220;6113.7;chirurg pielęgniarz drzew;611301;Chirurg pielęgniarz drzew
221;6113.6;ogrodnik/ogrodniczka;611303;Ogrodnik
222;6114.1;zarządca produkcji rolnej;611401;Kierownik gospodarstwa upraw mieszanych
223;6121.1;hodowca bydła;612102;Hodowca bydła
224;6121.3;hodowca koni;612103;Hodowca koni
225;6121.5;hodowca owiec;612104;Hodowca owiec
226;6121.4;hodowca trzody chlewnej;612105;Hodowca trzody chlewnej
227;6129.1;hodowca zwierząt futerkowych;612107;Hodowca zwierząt futerkowych
228;6122.1;hodowca drobiu;612201;Hodowca drobiu
229;6123.1;pszczelarz;612302;Pszczelarz
230;6130.2;rolnik produkcji roślinnej i zwierzęcej;613003;Rolnik
231;6130.1;zarządca gospodarstwa rolnego;613002;Kierownik gospodarstwa produkcji roślinnej i zwierzęcej
232;6114.1;zarządca produkcji rolnej;613002;Kierownik gospodarstwa produkcji roślinnej i zwierzęcej
233;9215.1;robotnik leśny;621002;Robotnik leśny
234;5111.2.2;steward statku / stewardesa statku;511102;Steward statku morskiego
235;5111.2;steward/stewardessa;511101;Stewardesa / Steward
236;5112.1;kierownik pociągu;511201;Kierownik pociągu
237;5112.3;konduktor;511202;Konduktor
238;5112.3.1;kontroler biletów;511204;Kontroler biletów
239;3423.4;przewodnik górski;511302;Przewodnik turystyczny górski
240;5120.1;kucharz/kucharka;512001;Kucharz
241;5131.2;kelner/kelnerka;513101;Kelner
242;5132.1.1;barista;513201;Barista
243;5132.1;barman/barmanka;513202;Barman
244;5131.2.2.3;sommelier win / sommelière win;513203;Sommelier
245;5131.2.2;sommelier/sommelière;513203;Sommelier
246;5141.1;fryzjer/fryzjerka;514101;Fryzjer
247;5141.1.1;fryzjer męski / fryzjerka męska;514101;Fryzjer
248;5141.1;fryzjer/fryzjerka;514102;Fryzjer damski
249;5141.1.1;fryzjer męski / fryzjerka męska;514103;Fryzjer męski
250;5142.5;charakteryzator/charakteryzatorka;514201;Charakteryzator
251;5142.1;kosmetyczka;514202;Kosmetyczka
252;5142.6;manikiurzysta/manikiurzystka;514203;Manikiurzystka
253;5142.8;pedikiurzysta/pedikiurzystka;514204;Pedikiurzystka
254;5152.2;organizator usług domowych / organizatorka usług domowych;515202;Organizator usług domowych
255;5153.1;gospodarz domu;515301;Gospodarz domu
256;5153.1.3;kościelny;515302;Kościelny
257;5161.1;astrolog;516101;Astrolog
258;5161.2;wróżbita/wróżbiarka;516102;Wróżbita
259;5169.3;osoba do towarzystwa;516201;Osoba do towarzystwa
260;5163.2;tanatoprakser;516303;Tanatoprakser (balsamista)
261;5164.2.1.1;trener psów / trenerka psów;516405;Treser psów
262;2264.2;zoofizjoterapeuta;516406;Zoofizjoterapeuta
263;5164.1.3;opiekun dzikich zwierząt;516402;Opiekun dzikich zwierząt
264;5164.9;opiekun zwierząt domowych;516403;Opiekun zwierząt domowych
265;5165.1;instruktor nauki jazdy;516502;Instruktor nauki jazdy
266;5169.1;host/hostessa;516903;Hostessa
267;5223.3;osobisty doradca ds. wizerunku i zakupów;516904;Osobisty doradca do spraw zakupów (personal shooper)
268;5211.1;sprzedawca na targowisku i bazarze;521101;Sprzedawca na targowisku / bazarze
269;5212.1;sprzedawca uliczny żywności;521201;Uliczny sprzedawca żywności o krótkim terminie przydatności do spożycia
270;5222.1.1;kierownik kas;522203;Kierownik kas
271;5223.4;sprzedawca/sprzedawczyni;522301;Sprzedawca
272;5223.7.23;sprzedawca mięsa i produktów mięsnych;522302;Sprzedawca w branży mięsnej
273;5230.3;kasjer biletowy;523001;Kasjer biletowy
274;5241.2;model/modelka;524101;Model / modelka
275;5242.1;demonstrator wyrobów;524201;Demonstrator wyrobów
276;5245.1;sprzedawca na stacji paliw;524502;Sprzedawca w stacji paliw
277;5311.1.3;dzienny opiekun małego dziecka / dzienna opiekunka małego dziecka;531108;Dzienny opiekun małego dziecka
278;5311.1.4;niania;531104;Opiekunka dziecięca domowa (niania)
279;5312.1;asystent nauczyciela w przedszkolu;531202;Asystent nauczyciela przedszkola
280;5312.2;asystent nauczyciela w szkole podstawowej;531204;Asystent nauczyciela w szkole
281;5321.1;opiekun medyczny;532102;Opiekun medyczny
282;5322.1;opiekunka domowa / opiekun domowy;532201;Opiekunka domowa
283;5329.1;sanitariusz szpitalny;532904;Sanitariusz szpitalny
284;5411.1;strażak;541101;Strażak
285;5413.1;strażnik w zakładzie dla nieletnich;541201;Strażnik w zakładzie dla nieletnich
286;5414.1.3;pracownik ochrony osobistej;541307;Pracownik ochrony fizycznej
287;5411.1.3;ratownik górniczy;541902;Ratownik górniczy
288;5419.6;ratownik wodny;541906;Ratownik wodny
289;6210.1;strażnik leśny;541907;Strażnik leśny
290;4110.1;technik prac biurowych;411004;Technik prac biurowych
291;3334.1;administrator nieruchomości;411001;Administrator nieruchomości
292;4120.1;sekretarka;412001;Sekretarka
293;4131.1;maszynistka;413103;Operator edytorów tekstu
294;4131.1;maszynistka;413101;Maszynistka
295;4211.2;asystent usług pocztowych;421101;Asystent usług pocztowych
296;4211.1;kasjer bankowy;421103;Kasjer bankowy
297;4312.3;kasjer walutowy / kasjerka walutowa;421104;Kasjer walutowy
298;4212.2;bukmacher;421201;Bukmacher
299;4212.6;pracownik kolektury;421203;Pracownik kolektury
300;4213.1;pracownik lombardu;421302;Pracownik lombardu
301;4214.1;windykator;421403;Windykator
